Orthogroup	Anaulaciulus_tonginus	Biomphalaria_straminea	Branchiostoma_floridae	Caenorhabditis_elegans	Carcinoscorpius_rotundicauda	Centruroides_sculpturatus	Drosophila_melanogaster	Eriocheir_sinensis	Glomeris_maerens	Helicorthomorpha_holstii	Homo_sapiens	Hypsibius_dujardini	Ixodes_scapularis	Lithobius_niger	Litopenaeus_vannamei	Magallana_hongkongensis	Niponia_nodulosa	Rhysida_immarginata	Stegodyphus_mimosarum	Strigamia_maritima	Tachypleus_tridentatus	Thereuonema_tuberculata	Tribolium_castaneum	Trigoniulus_corallinus	Total
OG0000000	124	3	3	1	94	50	4	10	61	41	4	2	44	199	21	5	83	166	75	67	88	171	5	37	1358
OG0000001	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	1339	0	0	10	0	0	1353
OG0000002	35	35	45	4	63	43	57	45	36	34	36	42	90	124	72	22	51	49	40	36	64	68	33	33	1157
OG0000003	58	33	112	26	15	12	4	9	32	36	18	69	33	88	24	35	57	30	22	10	15	82	6	56	882
OG0000004	4	62	80	2	52	29	13	30	6	4	17	1	10	32	35	52	6	58	23	14	64	45	6	6	651
OG0000005	9	23	41	6	0	0	10	10	43	155	23	2	0	50	38	87	36	35	2	13	1	49	4	7	644
OG0000006	19	21	35	2	50	41	9	16	16	32	9	23	14	60	22	28	24	31	27	15	44	40	8	17	603
OG0000007	50	12	21	16	5	1	21	9	19	48	5	1	7	52	39	15	59	24	6	6	5	44	37	30	532
OG0000008	10	36	24	0	10	30	0	8	4	4	0	22	118	26	54	15	8	13	81	9	5	7	8	10	502
OG0000009	1	10	7	0	3	51	1	80	2	3	3	8	88	10	49	9	2	19	100	3	6	4	6	30	495
OG0000010	7	17	21	23	19	44	11	29	8	6	3	47	8	61	39	16	6	20	43	10	19	27	2	3	489
OG0000011	32	16	18	9	48	21	15	12	22	14	21	12	13	29	16	18	24	20	11	19	42	24	14	16	486
OG0000012	20	18	3	1	15	44	3	31	4	34	1	2	11	75	11	14	60	42	7	9	8	45	7	16	481
OG0000013	32	44	5	6	19	13	17	5	14	12	19	13	41	26	16	5	27	57	14	8	19	26	17	15	470
OG0000014	10	27	31	18	26	40	28	15	11	13	4	10	71	14	12	12	10	11	18	13	14	5	44	5	462
OG0000015	11	34	16	18	51	19	8	10	14	9	6	76	11	21	12	32	14	5	12	7	44	14	7	6	457
OG0000016	31	8	45	10	0	0	35	14	20	23	15	0	0	68	26	0	18	29	0	14	0	43	38	19	456
OG0000017	11	0	0	0	71	22	8	50	12	3	0	2	32	19	41	3	5	10	41	10	88	6	8	4	446
OG0000018	16	18	5	3	59	19	18	30	11	9	11	5	11	21	28	11	14	14	21	16	59	16	18	8	441
OG0000019	22	0	0	0	0	0	28	31	10	30	0	0	0	40	162	0	18	19	0	15	0	18	28	14	435
OG0000020	23	11	17	5	8	28	9	49	6	3	12	2	21	20	67	12	4	7	41	11	23	19	12	4	414
OG0000021	6	32	49	17	29	26	0	0	12	12	9	0	16	36	9	32	17	24	13	4	36	23	0	11	413
OG0000022	15	32	21	2	13	14	7	11	13	10	12	8	32	40	17	47	10	33	9	3	14	26	8	15	412
OG0000023	19	10	37	11	10	48	16	4	15	19	12	1	24	26	4	23	27	15	22	8	9	8	22	18	408
OG0000024	15	0	0	0	8	4	53	39	8	7	0	0	0	10	133	0	7	20	9	12	5	25	36	13	404
OG0000025	9	29	27	14	33	26	14	4	14	4	0	7	23	19	16	12	12	6	38	13	40	16	18	8	402
OG0000026	20	0	0	0	25	20	9	15	19	21	0	48	7	22	40	0	18	23	9	21	27	24	10	20	398
OG0000027	3	0	5	1	2	54	0	9	2	3	0	0	53	11	70	12	8	20	85	43	0	3	9	2	395
OG0000028	18	4	9	3	38	10	6	16	15	12	0	21	15	38	22	22	17	20	15	14	27	25	7	11	385
OG0000029	5	0	0	0	1	60	2	64	2	6	1	3	109	3	38	21	4	20	18	7	1	3	13	2	383
OG0000030	9	25	21	5	30	22	12	15	10	11	13	15	19	18	19	30	10	15	12	14	28	10	10	9	382
OG0000031	32	24	2	2	17	16	6	12	12	28	5	9	16	28	18	14	27	22	14	6	16	19	16	14	375
OG0000032	16	31	16	3	12	10	4	13	8	38	14	15	4	18	20	18	24	17	15	6	19	19	5	23	368
OG0000033	24	13	0	23	30	14	7	18	20	20	0	0	11	26	22	12	19	18	10	11	23	14	7	19	361
OG0000034	19	8	8	1	11	13	8	7	3	16	2	1	7	67	7	12	34	18	11	51	7	30	6	13	360
OG0000035	28	17	14	2	6	8	9	7	15	29	5	3	13	35	14	19	23	18	8	18	4	32	19	13	359
OG0000036	19	0	4	1	12	28	25	25	6	37	3	1	4	11	52	2	35	11	7	10	11	13	27	14	358
OG0000037	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	8	339	0	1	2	0	0	352
OG0000038	18	29	20	0	23	22	11	12	9	5	13	3	0	31	10	21	9	23	7	13	16	31	13	8	347
OG0000039	4	0	0	0	9	14	0	7	13	1	0	0	0	22	1	0	2	55	88	13	28	78	4	2	341
OG0000040	0	12	16	0	4	28	0	15	1	0	0	0	0	2	81	2	0	8	1	0	6	15	0	147	338
OG0000041	10	5	5	0	10	32	22	3	16	9	5	0	43	39	5	2	7	35	33	6	10	14	21	3	335
OG0000042	26	1	0	0	18	8	0	0	16	5	0	0	2	58	2	0	20	52	14	23	27	55	1	6	334
OG0000043	4	2	9	1	5	50	1	15	21	7	9	2	44	11	8	3	13	26	56	3	12	10	5	17	334
OG0000044	20	24	12	6	15	29	3	7	12	10	6	18	22	34	10	18	17	13	8	6	11	22	4	5	332
OG0000045	23	20	34	5	9	13	5	4	21	14	12	18	6	17	11	28	17	12	10	7	9	10	8	17	330
OG0000046	14	12	11	5	36	23	11	8	7	9	30	5	10	13	9	10	12	11	13	11	35	11	12	11	329
OG0000047	6	17	1	1	37	9	21	54	4	3	0	2	13	9	58	12	5	6	6	7	33	3	15	4	326
OG0000048	5	0	0	0	71	14	11	22	8	5	0	0	17	24	23	0	6	4	30	3	59	5	12	3	322
OG0000049	10	18	3	4	12	19	4	13	21	14	4	5	13	30	11	7	10	22	26	8	12	20	10	20	316
OG0000050	11	15	12	4	40	12	6	10	10	11	17	7	10	17	15	11	13	12	10	10	30	10	8	11	312
OG0000051	30	4	34	17	12	8	23	2	8	2	19	10	27	7	17	4	2	19	4	16	18	16	4	2	305
OG0000052	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0	305
OG0000053	20	12	24	12	16	6	4	8	9	12	4	12	7	18	7	16	14	33	12	9	16	14	4	11	300
OG0000054	9	0	8	0	0	37	2	55	4	1	0	2	91	5	7	1	7	15	20	3	0	5	2	20	294
OG0000055	0	16	5	22	13	23	24	6	4	4	11	5	27	21	5	32	5	10	9	1	14	30	5	0	292
OG0000056	12	27	5	2	9	8	6	3	2	3	0	0	9	91	7	11	9	36	9	10	7	15	2	6	289
OG0000057	15	0	1	0	26	12	1	13	12	7	0	0	12	32	56	0	8	13	10	13	28	11	1	16	287
OG0000058	16	10	23	7	25	11	7	7	9	9	14	11	7	13	8	12	9	11	10	6	22	10	14	14	285
OG0000059	10	20	17	5	18	19	2	9	6	9	6	21	8	25	23	16	11	13	8	3	16	12	2	6	285
OG0000060	9	9	1	4	39	13	18	9	8	5	0	8	5	15	20	3	5	11	18	5	36	15	17	11	284
OG0000061	15	8	15	0	5	4	3	11	17	17	13	19	13	16	28	7	17	22	4	13	5	9	5	14	280
OG0000062	0	0	29	0	0	5	1	3	1	0	3	0	0	14	9	3	1	0	202	0	0	9	0	0	280
OG0000063	51	5	0	0	2	3	2	20	14	11	0	0	7	31	2	1	31	6	11	38	0	20	3	13	271
OG0000064	14	4	4	4	7	8	8	13	1	9	1	10	8	18	31	3	29	15	11	10	7	42	5	6	268
OG0000065	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266
OG0000066	9	9	12	4	30	15	9	9	8	8	27	8	7	8	12	7	8	7	5	8	31	7	9	7	264
OG0000067	12	26	9	4	11	15	9	4	7	14	12	13	6	32	6	12	16	9	4	9	10	7	6	8	261
OG0000068	5	11	16	0	12	22	2	6	14	19	5	21	18	8	8	19	5	14	21	3	10	10	7	3	259
OG0000069	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	0	0	259
OG0000070	0	0	0	0	71	30	0	0	0	0	0	0	46	0	2	0	0	0	40	0	66	0	1	0	256
OG0000071	12	1	2	8	27	16	5	9	11	9	0	7	6	17	8	0	14	17	19	8	33	16	2	7	254
OG0000072	15	7	20	1	5	11	4	3	6	15	3	7	58	9	7	16	8	18	11	9	4	3	5	9	254
OG0000073	14	5	1	1	22	8	6	5	10	15	0	11	25	11	8	5	20	15	8	9	22	11	9	9	250
OG0000074	15	9	27	5	13	6	7	6	9	7	7	1	2	9	42	25	8	8	5	6	12	10	3	5	247
OG0000075	13	4	0	7	2	18	11	8	12	6	0	2	30	19	3	0	23	30	9	4	0	24	6	14	245
OG0000076	5	10	8	5	15	22	0	2	12	14	5	0	24	17	0	10	17	19	21	4	22	6	0	6	244
OG0000077	0	0	0	0	1	41	0	4	1	2	0	25	0	0	9	6	3	41	83	0	5	16	1	6	244
OG0000078	7	2	3	8	2	10	19	2	20	5	6	1	22	25	9	4	20	12	2	15	2	12	10	23	241
OG0000079	9	2	8	0	26	5	1	7	11	7	6	2	27	11	1	17	8	24	18	2	35	3	7	4	241
OG0000080	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	236	0	0	0	239
OG0000081	10	7	3	9	27	11	7	8	7	6	1	2	7	18	11	4	10	11	14	9	32	11	7	6	238
OG0000082	5	4	26	7	10	6	23	4	4	5	9	2	33	5	26	10	3	9	4	5	16	12	5	3	236
OG0000083	5	6	7	3	32	13	5	10	5	8	16	8	9	8	9	9	7	8	12	7	28	7	6	7	235
OG0000084	16	3	12	0	6	2	0	10	10	2	3	0	16	30	20	4	10	20	7	10	8	28	1	14	232
OG0000085	7	3	30	16	11	5	20	3	6	3	19	7	29	4	20	5	2	10	3	5	9	6	6	3	232
OG0000086	19	5	1	0	1	18	0	82	1	1	0	0	28	4	7	3	3	39	3	0	3	0	10	3	231
OG0000087	10	4	16	19	18	8	25	3	5	2	20	5	27	4	8	4	2	6	4	4	20	6	5	2	227
OG0000088	6	5	18	3	9	3	8	12	5	8	4	2	29	13	12	9	7	23	5	7	7	11	14	7	227
OG0000089	9	17	27	4	10	5	4	4	9	6	8	6	5	24	9	16	5	8	5	7	8	17	8	4	225
OG0000090	0	1	0	1	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	1	0	225
OG0000091	6	20	11	3	9	5	14	9	5	4	7	4	8	23	32	10	5	4	12	4	7	10	7	4	223
OG0000092	25	1	5	2	7	7	1	5	15	17	1	4	31	11	2	5	26	7	3	5	12	7	1	19	219
OG0000093	0	0	0	0	1	150	0	6	0	0	0	0	2	1	4	0	0	0	27	3	17	0	0	8	219
OG0000094	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	205	0	0	6	0	0	219
OG0000095	11	14	6	6	49	2	1	3	5	6	2	3	3	21	7	27	11	5	3	2	17	9	0	5	218
OG0000096	8	5	7	22	4	5	1	2	5	9	5	0	9	28	12	17	13	18	7	8	5	14	3	11	218
OG0000097	6	18	23	37	2	1	1	5	4	5	6	25	1	30	1	15	4	12	2	1	2	7	6	4	218
OG0000098	16	7	17	5	13	16	0	6	11	9	7	6	8	7	10	9	23	10	4	4	9	12	1	6	216
OG0000099	0	0	0	0	0	0	0	0	0	0	0	0	1	215	0	0	0	0	0	0	0	0	0	0	216
OG0000100	15	18	26	4	8	5	2	4	9	12	9	2	18	6	10	13	9	6	12	2	5	7	2	9	213
OG0000101	7	19	11	0	12	15	2	25	11	4	2	4	6	12	8	16	11	4	8	5	16	8	2	5	213
OG0000102	9	5	5	2	26	9	5	7	12	6	9	2	8	10	8	3	12	10	13	6	23	10	7	6	213
OG0000103	9	18	7	3	6	7	7	12	10	12	5	15	8	11	18	5	8	12	5	3	5	14	6	6	212
OG0000104	8	17	7	1	17	17	2	3	6	5	14	5	13	12	5	20	8	6	8	5	18	3	7	4	211
OG0000105	9	28	10	1	6	10	10	5	5	6	2	1	5	21	16	12	6	12	10	5	5	11	8	5	209
OG0000106	4	24	8	3	1	0	5	29	2	2	2	6	0	17	13	6	10	24	0	3	0	42	5	2	208
OG0000107	9	4	6	5	29	12	8	5	10	5	9	5	6	10	7	5	8	9	2	8	23	6	8	9	208
OG0000108	22	7	11	2	10	10	0	8	6	12	5	6	11	13	5	11	18	11	10	5	9	7	1	7	207
OG0000109	16	12	8	20	6	3	5	9	9	5	0	1	3	15	3	6	16	13	2	8	21	15	1	10	207
OG0000110	2	11	2	0	17	25	0	28	3	0	2	0	31	4	0	1	0	5	30	0	30	10	2	4	207
OG0000111	3	2	24	0	1	19	2	3	52	3	1	14	0	1	13	2	2	1	3	1	1	55	2	2	207
OG0000112	1	6	0	0	0	14	0	27	0	0	0	1	44	1	0	1	1	49	21	0	1	16	0	22	205
OG0000113	7	0	0	0	0	0	1	1	3	9	0	0	0	64	4	0	7	32	0	35	0	34	1	7	205
OG0000114	4	14	25	3	6	14	9	14	5	4	5	10	4	11	13	30	4	4	3	4	7	3	7	1	204
OG0000115	3	9	2	1	11	30	3	7	12	5	3	11	3	13	6	28	4	9	16	7	8	8	2	2	203
OG0000116	1	2	0	0	10	27	0	2	0	0	3	0	10	0	7	0	0	1	51	0	84	2	1	2	203
OG0000117	5	18	0	1	5	7	0	4	13	29	2	14	0	8	9	15	27	10	1	3	10	8	1	10	200
OG0000118	30	1	2	1	27	13	0	0	4	14	0	0	5	1	2	2	34	2	16	2	26	4	1	12	199
OG0000119	18	14	8	1	3	5	4	7	1	31	4	6	5	11	3	11	15	4	9	3	3	12	2	19	199
OG0000120	6	9	8	4	32	11	7	6	5	5	11	4	6	6	6	9	6	6	8	4	25	4	5	5	198
OG0000121	9	17	3	6	4	6	11	11	4	14	7	9	15	12	11	7	7	9	8	2	5	8	4	8	197
OG0000122	9	5	5	2	27	12	4	3	5	5	4	3	4	18	5	7	7	5	15	6	24	9	4	5	193
OG0000123	5	8	32	4	7	4	0	4	5	0	6	2	3	14	6	40	0	14	8	1	19	10	0	1	193
OG0000124	1	0	0	0	0	12	0	2	0	0	0	0	10	0	0	0	0	2	6	0	0	0	1	158	192
OG0000125	3	7	4	0	15	4	8	4	5	21	5	5	17	11	5	9	17	2	14	6	15	3	8	3	191
OG0000126	12	5	9	2	11	10	5	7	9	7	9	3	3	14	8	12	5	11	5	13	11	10	3	5	189
OG0000127	9	13	4	3	13	4	5	7	7	3	7	4	2	10	5	16	9	15	4	11	19	8	6	4	188
OG0000128	9	2	4	8	18	10	3	3	6	6	3	15	6	16	7	5	6	8	15	5	15	9	5	4	188
OG0000129	5	9	13	0	10	5	2	11	3	7	7	0	5	22	29	13	12	4	1	3	11	4	1	11	188
OG0000130	7	6	3	3	18	16	7	4	4	6	5	5	10	18	3	6	5	11	15	4	15	5	7	4	187
OG0000131	8	3	3	0	11	21	1	5	10	5	0	2	12	15	11	4	6	12	29	4	12	4	0	8	186
OG0000132	7	0	0	0	7	0	1	62	2	2	0	3	0	3	0	3	1	22	10	7	29	4	1	22	186
OG0000133	4	39	11	0	1	2	2	7	1	1	4	3	5	17	10	40	1	6	2	8	4	15	2	1	186
OG0000134	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	179	1	2	0	0	0	0	0	186
OG0000135	3	0	0	0	2	23	0	7	3	1	1	3	5	0	7	0	2	17	28	0	62	13	3	4	184
OG0000136	24	0	0	1	0	3	11	31	10	5	0	0	4	1	8	0	19	4	3	0	0	16	2	41	183
OG0000137	4	3	6	4	25	11	5	11	5	5	12	5	6	5	8	4	6	5	8	7	23	5	6	4	183
OG0000138	2	2	0	0	0	42	0	13	0	0	0	0	32	37	3	1	0	2	29	8	0	0	12	0	183
OG0000139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	181
OG0000140	13	15	8	4	11	7	3	7	9	7	7	5	4	12	6	9	9	9	7	4	8	6	4	6	180
OG0000141	0	2	0	0	15	59	0	3	0	0	0	0	6	6	3	0	0	4	13	8	44	2	1	11	177
OG0000142	7	3	6	1	3	89	11	1	2	2	2	0	1	4	1	1	2	2	1	3	3	2	24	5	176
OG0000143	4	5	4	4	31	14	6	6	4	2	7	4	7	3	8	5	3	6	9	3	30	3	5	3	176
OG0000144	9	4	6	1	15	6	9	7	6	10	5	4	5	10	7	5	12	7	4	10	13	7	6	8	176
OG0000145	0	0	0	1	28	19	0	1	0	0	0	0	77	0	0	0	0	0	23	0	27	0	0	0	176
OG0000146	14	0	2	0	13	4	24	5	5	11	0	0	17	4	8	1	20	4	2	2	10	7	9	13	175
OG0000147	3	2	12	0	1	11	0	10	2	2	0	0	79	1	0	22	3	6	9	3	2	1	6	0	175
OG0000148	4	5	3	2	26	8	2	9	9	2	8	4	7	9	6	16	4	10	11	4	17	5	2	2	175
OG0000149	9	0	0	0	4	2	0	0	6	17	0	0	9	11	2	0	25	6	21	48	3	10	0	1	174
OG0000150	5	2	15	16	8	6	23	1	6	1	15	5	25	3	14	2	1	4	1	4	8	4	2	1	172
OG0000151	0	0	0	0	2	15	0	0	1	0	0	0	1	78	0	0	0	21	4	21	4	25	0	0	172
OG0000152	11	1	7	0	7	35	2	0	14	16	1	1	1	1	18	1	9	3	4	3	6	21	2	7	171
OG0000153	7	2	5	1	9	27	14	2	8	1	2	2	16	9	1	3	1	1	6	5	9	3	26	11	171
OG0000154	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171
OG0000155	7	12	13	3	13	8	5	8	5	6	6	3	5	6	9	11	7	5	7	5	10	5	6	5	170
OG0000156	7	12	4	4	10	11	6	3	3	3	7	1	11	16	6	10	4	10	7	7	6	10	8	4	170
OG0000157	10	12	11	3	8	7	2	8	6	5	11	1	3	12	7	17	8	5	9	4	5	7	2	7	170
OG0000158	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	165	0	0	0	170
OG0000159	18	10	8	1	5	5	3	2	9	5	2	1	2	21	5	6	6	17	8	2	7	18	4	4	169
OG0000160	9	0	0	3	22	9	5	4	5	7	0	7	5	14	7	0	10	5	8	4	25	8	6	6	169
OG0000161	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	4	2	7	145	2	1	0	0	169
OG0000162	7	7	1	1	0	17	0	27	3	1	0	0	3	3	17	4	1	2	55	0	0	9	1	7	166
OG0000163	3	8	11	15	11	3	3	5	6	11	6	2	2	17	7	17	7	3	3	1	9	11	2	3	166
OG0000164	0	1	0	0	0	0	0	4	0	0	0	0	0	5	0	3	1	1	6	141	2	2	0	0	166
OG0000165	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	166
OG0000166	11	1	6	2	5	2	1	26	3	5	1	0	56	2	5	1	24	3	1	2	4	2	1	1	165
OG0000167	0	0	16	0	20	22	0	0	0	0	7	0	0	26	2	0	0	30	1	6	25	10	0	0	165
OG0000168	6	9	3	2	23	6	3	22	9	2	0	3	3	13	15	7	3	7	5	3	13	3	2	2	164
OG0000169	5	2	16	6	4	3	8	2	4	7	10	11	3	16	12	8	7	2	4	3	3	10	14	4	164
OG0000170	5	32	8	0	5	2	0	0	1	1	5	2	1	28	1	8	5	31	1	5	6	16	0	1	164
OG0000171	7	3	37	3	15	11	2	2	7	3	6	5	4	9	1	2	4	6	8	5	13	4	2	4	163
OG0000172	9	4	22	9	13	4	2	8	5	2	15	4	2	3	29	3	4	2	3	2	12	2	2	2	163
OG0000173	39	1	6	8	2	28	1	3	1	2	2	0	1	1	2	1	2	16	1	10	2	31	1	1	162
OG0000174	5	6	9	1	10	6	0	2	9	5	1	4	3	30	3	4	7	9	4	13	8	14	4	4	161
OG0000175	11	4	5	2	20	6	3	2	5	8	4	11	4	8	4	8	7	3	8	3	20	6	3	6	161
OG0000176	6	5	10	5	9	6	4	6	8	6	7	5	9	12	3	7	12	7	5	4	5	11	2	7	161
OG0000177	8	7	14	2	6	6	0	7	13	5	8	1	12	8	7	6	11	6	1	4	4	19	0	6	161
OG0000178	9	15	6	4	8	12	2	4	2	6	5	3	8	10	3	15	6	6	6	5	9	8	3	5	160
OG0000179	6	19	5	1	1	4	1	5	11	5	1	0	1	15	4	26	4	15	7	6	1	18	3	1	160
OG0000180	4	11	3	3	12	6	10	5	7	7	3	0	7	6	7	4	7	12	6	8	9	8	10	5	160
OG0000181	9	5	26	6	7	4	2	2	4	6	20	8	2	5	4	6	9	4	6	3	9	3	4	5	159
OG0000182	4	13	10	1	8	4	6	5	4	3	3	8	9	9	7	4	7	10	4	2	7	24	5	2	159
OG0000183	1	0	14	3	1	12	0	0	22	0	3	3	50	10	1	0	0	13	6	7	1	4	0	8	159
OG0000184	1	5	32	1	3	5	0	2	4	3	3	1	3	22	8	18	6	11	9	1	5	11	0	5	159
OG0000185	0	0	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	159
OG0000186	3	13	8	9	8	5	4	9	6	4	8	3	7	8	12	7	4	8	5	4	8	6	4	5	158
OG0000187	6	5	7	5	7	6	6	13	5	5	6	2	7	9	6	6	6	7	9	4	7	8	11	5	158
OG0000188	3	5	13	2	31	11	1	4	2	1	10	2	5	3	5	8	2	3	9	3	23	6	1	5	158
OG0000189	2	5	8	9	5	6	14	4	8	2	8	9	9	15	13	10	4	3	4	5	7	1	4	3	158
OG0000190	28	0	0	0	0	0	14	0	10	16	0	0	0	9	6	0	42	6	0	8	0	10	2	6	157
OG0000191	3	0	1	0	1	0	0	39	0	0	0	10	9	21	5	1	0	4	40	0	18	0	4	1	157
OG0000192	6	10	26	5	17	7	3	3	6	4	3	4	5	7	4	6	6	3	3	4	10	6	4	4	156
OG0000193	6	7	8	3	16	9	2	5	4	4	8	4	5	7	6	5	8	4	8	4	17	7	4	5	156
OG0000194	0	1	0	0	14	53	0	18	0	1	5	0	3	0	1	0	0	1	43	0	12	2	2	0	156
OG0000195	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	156
OG0000196	7	11	8	2	17	8	3	7	7	2	6	1	3	13	5	3	5	5	10	1	15	8	3	4	154
OG0000197	6	14	0	0	6	8	5	5	4	4	0	0	2	17	9	20	6	7	4	4	7	10	9	7	154
OG0000198	5	7	24	4	5	7	5	3	3	4	16	4	6	0	6	8	3	6	8	13	3	4	5	5	154
OG0000199	3	1	0	0	3	23	3	2	3	3	0	1	11	15	4	28	2	32	2	2	1	8	1	5	153
OG0000200	8	8	5	4	13	6	4	5	9	8	5	6	4	5	5	6	6	6	3	5	11	8	5	7	152
OG0000201	3	0	0	0	13	11	2	17	2	1	0	5	6	6	49	0	3	6	5	2	13	3	3	2	152
OG0000202	18	2	1	0	10	10	3	7	5	9	1	1	7	8	10	1	7	5	7	4	12	10	7	6	151
OG0000203	6	9	5	2	23	9	2	5	6	1	2	2	2	7	2	5	6	6	4	6	29	6	2	4	151
OG0000204	11	20	5	0	1	0	2	13	0	13	0	7	0	17	3	3	17	10	0	3	2	14	3	7	151
OG0000205	9	7	3	1	9	5	4	5	6	14	4	1	4	7	9	10	7	10	10	2	8	10	2	4	151
OG0000206	6	0	7	6	10	2	1	0	10	7	0	2	10	31	0	1	9	20	1	4	8	11	1	4	151
OG0000207	1	2	22	4	20	31	1	1	2	1	4	3	21	3	2	7	1	2	5	1	12	2	2	1	151
OG0000208	5	6	2	2	24	10	2	6	6	4	8	3	2	2	3	4	3	4	13	4	26	3	3	6	151
OG0000209	2	0	0	1	0	5	0	27	11	5	0	0	61	10	0	0	2	6	11	2	0	2	5	1	151
OG0000210	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	9	0	2	10	0	121	0	0	0	151
OG0000211	6	2	0	0	7	4	1	2	4	2	0	1	22	38	4	1	3	5	3	11	8	12	0	14	150
OG0000212	20	1	1	0	2	4	5	6	3	11	3	0	12	20	7	1	13	4	12	4	2	1	9	9	150
OG0000213	8	8	6	1	3	1	3	3	2	4	1	2	14	4	1	4	12	8	2	6	1	26	7	23	150
OG0000214	6	2	12	6	17	7	5	4	6	4	9	5	4	5	4	3	7	6	3	5	15	4	6	4	149
OG0000215	6	2	6	4	8	6	7	0	5	1	8	17	3	4	5	6	1	30	6	4	7	5	5	3	149
OG0000216	0	0	11	0	18	21	1	1	0	0	0	0	69	2	1	0	1	1	2	3	11	4	3	0	149
OG0000217	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	148
OG0000218	5	9	11	4	12	3	4	4	5	4	5	5	8	6	5	8	8	5	9	3	11	5	4	4	147
OG0000219	5	11	5	1	9	2	2	5	7	4	2	27	9	8	5	4	5	5	6	4	10	4	2	4	146
OG0000220	1	1	1	6	0	14	0	5	2	15	0	2	14	4	1	0	7	24	31	6	0	2	10	0	146
OG0000221	15	0	3	4	9	10	5	3	8	3	1	11	11	5	10	1	5	10	8	2	10	5	2	4	145
OG0000222	6	10	3	14	8	12	8	2	2	7	8	0	16	3	4	1	4	2	6	2	7	7	9	4	145
OG0000223	5	2	16	0	8	4	0	3	7	8	4	1	9	11	9	5	12	12	3	2	9	10	0	5	145
OG0000224	6	9	5	2	13	3	3	2	7	4	4	3	3	11	2	2	13	8	6	4	19	6	2	7	144
OG0000225	1	16	10	0	0	19	0	29	1	0	0	3	7	6	1	4	4	10	2	0	2	18	1	10	144
OG0000226	8	14	2	11	1	2	4	2	16	1	5	4	2	3	1	5	8	9	6	6	2	6	2	23	143
OG0000227	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	143
OG0000228	21	0	0	0	0	0	0	0	0	22	0	5	0	24	0	0	57	0	0	10	0	0	2	1	142
OG0000229	5	1	8	6	17	7	0	5	5	2	2	3	7	7	8	14	4	10	3	3	16	5	0	4	142
OG0000230	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	142
OG0000231	0	0	0	0	37	21	0	0	0	0	0	0	13	0	0	0	0	0	33	0	38	0	0	0	142
OG0000232	15	7	9	8	7	6	2	23	4	3	4	2	2	4	2	3	12	8	4	4	2	6	2	2	141
OG0000233	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	141
OG0000234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	141
OG0000235	4	2	1	0	4	2	0	0	1	1	1	1	3	1	1	1	1	109	1	1	2	1	1	1	140
OG0000236	21	20	13	1	0	0	4	5	3	8	0	5	0	1	5	36	7	1	0	1	0	1	3	4	139
OG0000237	11	9	2	7	6	4	1	2	7	7	7	20	5	6	3	8	8	2	2	3	6	5	2	5	138
OG0000238	6	2	4	1	13	7	1	2	11	2	7	1	3	1	7	22	3	4	6	4	18	7	5	1	138
OG0000239	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	106	0	0	1	138
OG0000240	5	5	3	2	9	2	6	5	5	2	2	6	12	14	8	5	4	2	4	12	10	9	2	3	137
OG0000241	12	0	0	0	17	13	2	2	4	13	2	0	9	4	14	0	10	5	0	2	15	7	1	5	137
OG0000242	6	10	5	3	9	3	3	4	7	4	13	10	2	5	4	10	4	6	4	3	8	4	6	4	137
OG0000243	4	16	18	1	9	9	0	2	5	2	7	3	1	5	1	30	2	11	1	1	6	1	0	1	136
